K_Value,Text_Num,Topic,TFIDF_acc,TFIDF_pc,TFIDF_rc,TFIDF_f1,TFIDF_fb15,TFIDF_fb20,TFIDF_fb25,TFIDF_fb30,TextRank_acc,TextRank_pc,TextRank_rc,TextRank_f1,TextRank_fb15,TextRank_fb20,TextRank_fb25,TextRank_fb30,LDA_acc,LDA_pc,LDA_rc,LDA_f1,LDA_fb15,LDA_fb20,LDA_fb25,LDA_fb30
4,107,Visually_impaired_mom,0.1429,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.3333,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4,128,Okmart_charity_event,0.125,0.25,0.2,0.2222,0.2131,0.2083,0.2057,0.2041,0,0,0,0,0,0,0,0,0.5,0.75,0.6,0.6667,0.6393,0.625,0.617,0.6122
4,129,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857,0.5,0.4,0.4444,0.4262,0.4167,0.4113,0.4082
4,130,Okmart_charity_event,0.125,0.25,0.2,0.2222,0.2131,0.2083,0.2057,0.2041,0,0,0,0,0,0,0,0,0.5,0.75,0.6,0.6667,0.6393,0.625,0.617,0.6122
4,131,Okmart_charity_event,0.125,0.25,0.2,0.2222,0.2131,0.2083,0.2057,0.2041,0,0,0,0,0,0,0,0,0.5,0.75,0.6,0.6667,0.6393,0.625,0.617,0.6122
4,132,Okmart_charity_event,0.125,0.25,0.2,0.2222,0.2131,0.2083,0.2057,0.2041,0,0,0,0,0,0,0,0,0.5,0.75,0.6,0.6667,0.6393,0.625,0.617,0.6122
4,133,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.6,0.6667,0.6393,0.625,0.617,0.6122
4,134,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.6,0.6667,0.6393,0.625,0.617,0.6122
4,135,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857,0.5,0.4,0.4444,0.4262,0.4167,0.4113,0.4082
4,244,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444,1,0.4444,0.6153,0.536,0.5,0.4813,0.4705
4,245,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,0.4,0.5714,0.4906,0.4545,0.4361,0.4255
4,246,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444,1,0.4444,0.6153,0.536,0.5,0.4813,0.4705
4,247,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444,1,0.4444,0.6153,0.536,0.5,0.4813,0.4705
4,248,life_rebuild_event,0.0909,0.25,0.125,0.1667,0.1477,0.1389,0.1343,0.1316,0,0,0,0,0,0,0,0,0.0909,0.25,0.125,0.1667,0.1477,0.1389,0.1343,0.1316
4,249,life_rebuild_event,0.0833,0.25,0.1111,0.1538,0.134,0.125,0.1203,0.1176,0,0,0,0,0,0,0,0,0.4444,1,0.4444,0.6153,0.536,0.5,0.4813,0.4705
4,250,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444,1,0.4444,0.6153,0.536,0.5,0.4813,0.4705
4,251,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.3333,0.4,0.3714,0.3571,0.3494,0.3448
4,252,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444,1,0.4444,0.6153,0.536,0.5,0.4813,0.4705
4,253,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.3333,0.4,0.3714,0.3571,0.3494,0.3448
4,256,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.75,0.3333,0.4615,0.402,0.375,0.361,0.3529
4,260,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,1,0.6667,0.8,0.7429,0.7143,0.6988,0.6897
4,262,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.75,0.75,0.75,0.75,0.75,0.75,0.75
4,263,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4286,0.75,0.5,0.6,0.5571,0.5357,0.5241,0.5172
4,264,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,1,0.6667,0.8,0.7429,0.7143,0.6988,0.6897
4,265,dark experience,0.25,0.5,0.3333,0.4,0.3714,0.3571,0.3494,0.3448,0,0,0,0,0,0,0,0,0.25,0.5,0.3333,0.4,0.3714,0.3571,0.3494,0.3448
4,270,life_rebuild_event,0.0833,0.25,0.1111,0.1538,0.134,0.125,0.1203,0.1176,0,0,0,0,0,0,0,0,0.4444,1,0.4444,0.6153,0.536,0.5,0.4813,0.4705
5,96,Visually_impaired_mom,0.125,0.2,0.25,0.2222,0.2321,0.2381,0.2417,0.2439,0,0,0,0,0,0,0,0,0.5,0.6,0.75,0.6667,0.6964,0.7143,0.725,0.7317
5,97,Visually_impaired_mom,0.2857,0.4,0.5,0.4444,0.4643,0.4762,0.4833,0.4878,0,0,0,0,0,0,0,0,0.5,0.6,0.75,0.6667,0.6964,0.7143,0.725,0.7317
5,98,Visually_impaired_mom,0.125,0.2,0.25,0.2222,0.2321,0.2381,0.2417,0.2439,0,0,0,0,0,0,0,0,0.5,0.6,0.75,0.6667,0.6964,0.7143,0.725,0.7317
5,101,Visually_impaired_mom,0.125,0.2,0.25,0.2222,0.2321,0.2381,0.2417,0.2439,0,0,0,0,0,0,0,0,0.5,0.6,0.75,0.6667,0.6964,0.7143,0.725,0.7317
