K_Value,Topic,TFIDF_acc_avg,TFIDF_pc_avg,TFIDF_rc_avg,TFIDF_f1_avg,TFIDF_fb15_avg,TFIDF_fb20_avg,TFIDF_fb25_avg,TFIDF_fb30_avg,TextRank_acc_avg,TextRank_pc_avg,TextRank_rc_avg,TextRank_f1_avg,TextRank_fb15_avg,TextRank_fb20_avg,TextRank_fb25_avg,TextRank_fb30_avg,LDA_acc_avg,LDA_pc_avg,LDA_rc_avg,LDA_f1_avg,LDA_fb15_avg,LDA_fb20_avg,LDA_fb25_avg,LDA_fb30_avg
27,life_rebuild_event,0.0475,0.0586,0.197,0.0899,0.1133,0.1328,0.1476,0.1584,0.0239,0.0325,0.0824,0.0463,0.0555,0.0626,0.0676,0.0711,0.256,0.2654,0.8215,0.4002,0.4978,0.5768,0.6352,0.6772
27,dark experience,0.053,0.0592,0.3167,0.0993,0.1344,0.1678,0.196,0.2187,0,0,0,0,0,0,0,0,0.1818,0.1852,0.9,0.3061,0.4092,0.5047,0.5836,0.6455
28,Visually_impaired_mom,0.0667,0.0714,0.5,0.125,0.1756,0.2272,0.2735,0.3124,0,0,0,0,0,0,0,0,0.135,0.1357,0.95,0.2376,0.3338,0.4318,0.5199,0.5938
28,Okmart_charity_event,0.0914,0.0982,0.55,0.1667,0.2277,0.2864,0.3364,0.3767,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.1786,0.1786,1,0.3031,0.4141,0.5209,0.6119,0.685
28,life_rebuild_event,0.0461,0.0565,0.197,0.0874,0.1108,0.1306,0.1456,0.1568,0.0237,0.0322,0.0824,0.0459,0.0552,0.0623,0.0673,0.0709,0.251,0.2589,0.8308,0.3938,0.4929,0.5741,0.6346,0.6784
28,dark experience,0.0514,0.0571,0.3167,0.0963,0.131,0.1643,0.1927,0.2157,0,0,0,0,0,0,0,0,0.1676,0.1715,0.8667,0.2854,0.3836,0.4756,0.5522,0.6129
29,Visually_impaired_mom,0.0645,0.069,0.5,0.1213,0.1711,0.2223,0.2686,0.3078,0,0,0,0,0,0,0,0,0.1303,0.131,0.95,0.2303,0.3249,0.4222,0.5101,0.5845
29,Okmart_charity_event,0.0931,0.0991,0.575,0.1691,0.2321,0.2933,0.3459,0.3885,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.1724,0.1724,1,0.2941,0.4037,0.5102,0.6016,0.6757
29,life_rebuild_event,0.0448,0.0546,0.197,0.0851,0.1085,0.1285,0.1439,0.1552,0.0236,0.032,0.0824,0.0457,0.055,0.0621,0.0672,0.0707,0.2389,0.2471,0.8215,0.379,0.4773,0.5587,0.6199,0.6645
29,dark experience,0.0498,0.0552,0.3167,0.0935,0.1278,0.161,0.1896,0.2128,0,0,0,0,0,0,0,0,0.1695,0.1724,0.9,0.2885,0.3895,0.4851,0.5653,0.6291
30,Visually_impaired_mom,0.0625,0.0667,0.5,0.1177,0.1667,0.2175,0.2637,0.3031,0,0,0,0,0,0,0,0,0.126,0.1266,0.95,0.2235,0.3166,0.413,0.5009,0.5757
30,Okmart_charity_event,0.1026,0.1083,0.65,0.1857,0.2561,0.325,0.3847,0.4333,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.1667,0.1667,1,0.2858,0.394,0.5001,0.5919,0.6667
30,life_rebuild_event,0.0436,0.0528,0.197,0.0828,0.1063,0.1264,0.142,0.1537,0.0235,0.0319,0.0824,0.0456,0.0548,0.062,0.0671,0.0707,0.238,0.2445,0.84,0.3778,0.4785,0.5628,0.6266,0.6734
